,brand,name
3511,耐吉 NIKE,769
1716,adidas,724
972,MAYBELLINE 媚比琳,635
3454,羅技 Logitech,611
986,MENTHOLATUM 曼秀雷敦,549
3504,義美,536
812,KATE TOKYO 凱婷,505
3713,蘋果 Apple,489
3997,高露潔,488
1798,media 媚點,482
1388,SENKA 專科,437
819,KIRIN,433
2182,台啤,397
1,1028,386
2315,國際牌 Panasonic,385
1711,Za,373
1098,NEW BALANCE,364
1753,essence cosmetics 艾森絲,351
1866,七星,328
4048,黑人牙膏,328
3157,澎澎,313
1873,三星 SAMSUNG,301
2946,森田藥粧,286
337,Cellina 雪芙蘭,281
2597,康乃馨,274
739,INTEGRATE 櫻特芮,274
1106,NIVEA 妮維雅,267
3811,農心,265
3725,蜜妮Biore,263
956,M.A.C,261
3571,舒酸定,260
1399,SKECHERS,255
3273,白蘭氏,251
1082,NAILHOLIC,246
335,Catrice 卡翠絲,243
2091,刷樂,242
228,Biore 蜜妮,241
3183,熊寶貝,231
3565,舒潔,230
3223,獅王,230
1857,一匙靈,227
2496,寶僑,225
280,CHANEL 香奈兒,225
4051,黑松 HeySong,223
229,Bioré,223
2932,桂格 QUAKER,220
2175,可口可樂 Coca Cola,220
897,LION 獅王,218
823,KISSME 奇士美,217
424,Dashing Diva,214
817,KIEHL'S 契爾氏,213
3208,特福 Tefal,208
2160,原萃,205
407,DR.WU 達爾膚,204
1598,UNDER ARMOUR,197
3519,聖萊西 Seeds,195
537,Estée Lauder 雅詩蘭黛,192
2686,悅氏,190
829,KOSE 高絲,187
2209,台酒,180
3630,茶裏王,180
1593,UCC,177
2338,多芬,176
1881,三詩達,176
1497,Switch,175
3111,海尼根,175
3328,福樂,175
2854,春風,173
552,FILA,171
443,Dior 迪奧,171
223,Bifesta 碧菲絲特,169
1257,PUMA,169
875,LANCÔME 蘭蔻,168
130,Ariel,168
365,Converse,167
538,Etude House,166
393,DHC,166
3894,阿薩姆,165
1086,NARS,164
3239,理膚寶水,163
3869,鍋寶 CookPower,163
3276,白鴿,163
2818,日清,161
1953,伯朗,160
3733,西莎 Cesar,160
3403,統一瑞穗,159
1766,heme 喜蜜,158
4042,麥香,157
4047,黑人,156
2562,岡本,156
2438,嬌生,154
4024,麗仕,152
41,AHC,151
3968,飛利浦 Philips,151
2396,奈森克林,151
287,CIAO,150
2363,大衛杜夫,148
378,Curel 珂潤,148
1966,依必朗,147
180,BOBBI BROWN 芭比波朗,147
2633,御茶園,147
3108,海倫仙度絲,146
542,Excel,144
1395,SHISEIDO 資生堂,144
2931,桂冠,143
3386,純喫茶,139
3011,歐樂B,139
2951,植村秀 Shu uemura,138
2212,台鹽,136
3926,雲斯頓,136
1755,ettusais 艾杜紗,134
2530,小米,133
2507,寶馬,132
2332,多喝水,131
3463,美吾髮,129
1765,heme,128
4025,麗仕 LUX,128
3418,綠的,128
3528,聲寶 SAMPO,128
1695,YSL 聖羅蘭,127
3158,澡享,127
3675,萬家香,127
1871,三得利,126
1914,五月花,126
1964,來一客,126
485,Dyson,126
2409,好自在,125
1332,REEBOK,124
1001,MISSHA,124
2413,妙管家,123
3177,無印良品,122
2238,味味一品,120
140,Asahi,120
1988,倫敦登喜路,118
2655,德恩奈,118
3657,華碩 ASUS,116
1643,Vaseline 凡士林,116
2243,味王麵,115
4067,龜甲萬,115
2822,日立 HITACHI,114
3900,雀巢,114
3153,潘婷 PANTENE,113
2339,多芬 Dove,113
299,CLIO 珂莉奧,112
278,CEZANNE,111
3433,維力炸醬麵,111
2753,我的心機,110
959,MAJOLICA MAJORCA 戀愛魔鏡,109
3225,獅王LION,107
1167,OLAY 歐蕾,106
3355,立頓,106
864,L'OCCITANE 歐舒丹,105
3852,金蘭,105
3146,滿漢大餐,103
2896,東元 TECO,102
2981,樂迪LD,102
2234,味全林鳳營,102
104,Acer 宏碁,102
1603,UNT,102
2504,寶路,102
2985,樂金 LG,102
1009,MKUP 美咖,101
2185,台塑生醫 Dr’s Formula,101
3712,蘇菲,100
279,CHAMPION,100
4050,黑松,99
3353,立得清,99
2125,南僑,99
3683,葡萄王,96
725,I'M MEME,95
2986,橘子工坊,95
1187,ORIGINS 品木宣言,95
1633,VISEE,93
1734,cheers,93
2122,午后時光,93
1917,亞瑟士 ASICS,93
2467,家樂福,92
3398,統一AB,92
1074,My Beauty Diary 我的美麗日記,92
2343,大同 TATUNG,91
144,Avene 雅漾,91
3095,泰山,91
2047,光泉鮮乳,90
3970,飛柔 PERT,89
1869,三多,89
486,E-books,89
3198,牛頭牌,88
1396,SHISEIDO 資生堂國際櫃,87
1741,crest,87
3718,虎牌,87
3943,靠得住,86
2408,好立善,86
3527,聲寶,86
1981,倍潔雅,86
3882,阿Q桶麵,86
611,GATSBY,85
3614,花王 Kao,85
2494,寶亨,85
2213,台鹽生技,85
2510,尊爵,84
2233,味全,84
2101,加好寶 Classic Pets,83
3510,老媽拌麵,83
1665,WINMAX,82
1379,SANA 莎娜,82
3318,石頭科技,82
3483,美琪,82
2395,奇美 CHIMEI,80
3068,沙威隆,80
1335,REVLON 露華濃,80
3676,萬寶路,80
2313,國際牌,79
1269,Parodontax 牙周適,79
3055,永信藥品,79
2027,優生,79
2230,呂 Ryo,79
3779,貝恩,79
2622,得意,78
868,LA ROCHE POSAY 理膚寶水,78
851,Kirin,78
3650,莫比 Mobby,78
1344,ROHTO 樂敦,77
3364,米森 vilson,77
3950,韓國不倒翁,77
2584,希爾思 Hills,77
15,3M,76
171,BIODERMA 貝膚黛瑪,76
2700,愛之味,76
1515,TESCOM,76
2170,古寶無患子,76
3062,汪喵星球,75
2051,克寧 KLIM,75
3682,葛莉思 GREENS,74
1439,Sebamed 施巴,74
1989,偉嘉 whiskas,74
2528,小獅王辛巴,74
906,LOTTO,73
3570,舒跑,73
519,EUNYUL,73
3763,象印 ZOJIRUSHI,72
1173,ON THE BODY,72
2543,屈臣氏,72
2539,尚朋堂,71
3339,禾聯 HERAN,71
3407,統一陽光,71
841,Kanebo 佳麗寶,70
2061,八道 PALDO,70
722,Hydro Balance 水平衡,69
3280,百威,69
2314,國際牌 PANASONIC,69
3561,舒味思,68
3933,雷蛇 RAZER,68
3480,美津農 MIZUNO,68
3923,雪芙蘭,67
2398,奧力棒 OzBone,67
2044,光泉乳香世家,67
3261,生活,67
2196,台灣啤酒,67
3270,白人,67
2701,愛仕達 ASD,67
3272,白帥帥,66
1407,SOFINA 蘇菲娜,65
3585,艾瑪絲 AROMASE,64
639,GUM,64
2723,愛樂齒 Ora2,63
2994,歌林 KOLIN,63
3587,艾瑪花園 Amma garden,62
342,Cetaphil 舒特膚,62
2694,惠百施 EBISU,61
3428,維他露P,61
447,DoggyMan,61
1949,伊藤園 Ito EN,60
1965,來復易,60
2500,寶瀅Persil,60
185,BOTANIST,60
3644,莎啦莎啦,59
1838,tsaio 上山採藥,59
2108,包大人,59
1231,PETAL FRESH 沛特斯,58
2021,優格TOMA-PRO,58
3899,隨緣,58
298,CLINIQUE 倩碧,58
3075,沛綠雅,58
620,GIORGIO ARMANI 亞曼尼,58
1947,伊萊克斯 Electrolux,58
3658,華米 Amazfit,58
3373,紅牛 Red Bull,58
230,Biotherm 碧兒泉,58
1496,Swissvita 薇佳,57
1818,realme,57
1960,佳士達,57
1742,d program 敏感話題,57
2345,大家源,57
3184,熊寶貝 SNUGGLE,57
1040,Mdmmd,56
3738,西雅圖 BARISTA,56
3893,阿葵亞 AQUAIR,55
3215,狐鐳 FoxXRay,55
2876,曾拌麵,55
1930,人生製藥,55
2341,大乾麵,55
357,Cocodor,54
1745,dejavu,54
2237,味味A,54
1585,Too cool for school,54
2281,善存,54
2373,天地合補,53
1266,Panasonic,53
1219,PALLADIO,53
3714,蘋果西打,53
3868,鍋寶,53
921,Lab Series 雅男士,52
4030,麗奇 REACH,52
806,K-SWISS,51
2045,光泉豆漿,51
2020,優格 TOMA-PRO,51
2431,娘家,51
2229,吶一口,51
116,Alpecin,51
3288,百齡,51
2329,夏普 SHARP,51
169,BHK’s,51
2954,植物的優,51
3517,聖佩黎洛,51
1875,三洋 SANLUX,50
3129,清水 shimizu,50
2995,歌林 Kolin,50
19,4U2,50
3393,素飄香,50
3762,象印,50
159,BCL,49
801,Junkisei Prime 潤肌精,49
2169,古寶,49
3758,豆油伯,49
4006,魔爪 Monster Energy,49
1702,Yuskin 悠斯晶,49
2676,思波綺 Tsubaki,48
451,Dove 多芬,48
3553,臺虎,48
500,ELIXIR 怡麗絲爾,48
2177,可果美,48
1842,uno,48
143,Aveeno 艾惟諾,48
2257,咪歐 Me-O,48
1389,SEXYLOOK 西西露,48
3855,金車柏克金,48
2691,惜時 SEEDS,48
2696,惠而浦 Whirlpool,48
30,ABSOLUTE NEW YORK 絕色紐約,48
1450,Simple 清妍,48
1969,保力達,48
999,MIRAE 未來美,47
3696,蔻蘿蘭 klorane,47
1767,herbacin 德國小甘菊,47
3145,滿意寶寶,47
1901,丸莊,47
2163,原點 Instinct,47
3875,長壽,47
3362,米家,47
2024,優活,46
1209,Orion,46
489,EAU耀,46
3131,清淨海,45
214,Beauty Buffet 天天美麗,45
3308,相模,45
2904,東芝 TOSHIBA,45
3372,紅牛 RED COW,45
2782,數位,45
3987,馬爾斯,45
3514,耐嘉 KINYO,45
1183,OPPO,44
2186,台塑生醫 醫之方,44
475,Dr.Satin,44
3401,統一寶多福 Petlife,44
3406,統一蜜豆奶,44
2804,施巴 Sebamed,44
3823,達新牌,44
609,GARMIN,44
3679,落建,44
3697,蕾妮亞,44
2774,摩卡 Mocca,44
1717,adidas 愛迪達,44
1363,Romand,43
1942,伊絲婷 Elastine,43
2974,樂扣樂扣 LocknLock,43
2100,加倍潔,43
2848,星之冠,43
2068,冰火,43
1882,三詩達 SUNSTAR,43
3975,飲冰室茶集,43
967,MAQuillAGE,43
2611,康貝特,43
948,Lovita愛維他,42
3469,美士 Nutro,42
3593,艾芮克 i-Rocks,42
3509,老協珍,42
2893,李錦記,42
3851,金色三麥,42
3331,福樂自然零,41
2708,愛喜,41
3611,花仙子 Farcent,41
700,Hair Recipe,41
3768,貓倍麗 MonPetit,41
931,Lenovo 聯想,41
3737,西雅圖,41
3048,水平衡,41
3083,法米納 Farmina,41
3674,萊萃美,41
1696,YUBICO,41
3277,百事可樂 PEPSI,40
3040,比菲多質立,40
3616,花香5,40
3687,蒸鮮之味,39
3986,馬修嚴選,39
80,ARTiS di Voce,39
2316,國際牌 panasonic,39
2638,微星科技 MSI,39
3091,波爾,39
3414,絲蘊 Syoss,38
1453,SkinLife,38
2275,唯潔雅,38
3654,華佗,38
577,Farcent,38
994,MILANI,38
1706,ZENN.TH 茲恩,38
2952,植村秀 shu uemura,38
3820,逸萱秀 Essentia,38
1339,RIMMEL 倫敦芮魅,38
3400,統一LP33,38
849,KiKi,38
589,ForBelovedOne寵愛之名,37
1243,PON PON MAN 澎澎Man,37
1572,The North Face,37
469,Dr.Hsieh 達特醫,37
3521,聯想 Lenovo,37
2650,德國達麗Dalli,37
1062,More,37
2439,嬌生 Johnson's,37
1087,NARUKO 牛爾親研,37
3988,馬玉山,37
688,HONEYSUCKLE,37
3685,蒂沐蝶 TIMOTEI,36
1434,Sapporo,36
3069,沙宣,36
1446,Siegal 思高,36
3244,瑞春,36
1247,POPPOP,36
2806,施華蔻 Schwarzkopf,36
2803,施巴,36
2962,極淨,35
2824,日落恩賜,35
2357,大甲乾麵,35
3730,西北,35
1638,VT CICA,35
2814,日本味王,35
1529,THREE,35
1251,PROFUSION,35
2451,安安,35
2325,培恩,35
3329,福樂一番鮮,35
1847,vivo,35
2615,廣鼎 INTOPIC,35
3236,理想 PERFECT,35
998,MINON AminoMoist 蜜濃,35
1803,msi 微星,35
3525,聰明狗糧 IQ DOG,35
2069,冷泡茶,35
587,Flormar,35
2744,慧心 SmartHeart,34
3311,真爽,34
340,CeraVe 適樂膚,34
810,KANGAROOS,34
3608,芮可 RICO,34
295,CLARINS 克蘭詩,34
308,COLOR CLUB,34
2823,日立 ITACHI,34
2054,克補,34
2305,四季,34
2300,嘉士伯,34
269,CARMEX 小蜜媞,34
2580,巴黎萊雅 L'OREAL PARIS,34
1249,PRI,33
2165,友情牌,33
1660,WATSONS,33
3249,瑪恩吉 Monge,33
3196,牛乳石鹼,33
3790,賈以食日,33
3488,美粒果,33
3760,豐力富 Fernleaf,33
1244,POND'S 旁氏,33
3168,濃韻,33
1923,享食尚,33
1475,Sour3,32
2485,富維克 Volvic,32
68,AQUA LABEL 水之印,32
2614,廣吉,32
2880,木村,32
517,ETUDE奧斯卡,32
3776,貝利達,32
702,Handme,32
661,H2O,31
71,ARDELL,31
1777,iROBOT,31
3037,比菲多,31
4043,麵大師,31
675,HEINZ亨式,31
2983,樂邁,31
1293,Play Station,31
3460,美亞 MEYER,30
63,AOC,30
942,Loshi,30
799,Jordan,30
2205,台農,30
2147,卡氛 KAFEN,30
2725,愛爾康,30
1041,Mdmmd 明洞國際,30
3812,農會,30
3229,玩美日記,30
2916,林鳳營特濃優格,30
1557,TTM 提提研,30
3134,渴望 Orijen,30
